"gene","baseMean","log2FoldChange","shrunkLFC","lfcSE","padj","effectTestPadj","svalue","maxCook","array_logFC","array_FDR_standard","array_FDR_robust","array_FDR_treat","array_mean","array_sd","array_min","array_max","direction_same","platform_difference","mean_effect","practical_selected","modern_strong","loo_medianLFC","loo_sdLFC","loo_minLFC","loo_maxLFC","loo_propFDR05","loo_medianRank","loo_worstRank","edgeR_logFC","edgeR_FDR","edgeR_rank","rank_DESeq2_effect","rank_DESeq2_FDR","rank_array_effect","rank_array_FDR","rank_product","rank_product_rank","score_effect","score_significance","score_precision","score_abundance","score_array_effect","score_array_significance","score_platform_agreement","score_loo","score_edgeR","stat_score","P_top5_weights","P_top10_weights","combined_robustness"
"CPAR2_106960",23646.4342971288,2.04741827361229,2.03263897346004,0.129930163125639,4.38678292501912e-53,1.98309994120412e-13,1.45532607982026e-16,0.129002793323127,2.022747781625,0.000157335056947283,0.000179720457170792,0.0069909457703667,2.022747781625,0.348545309284467,1.54057653525,2.2934184715,TRUE,0.0098911918350395,2.02769337754252,TRUE,TRUE,2.04120140603601,0.0363412004024208,2.00694236666943,2.10948818993588,1,213.5,241,2.01964470762655,1.09094608703004e-05,186,128,8,86,174.5,77.8433211583492,39,0.978054259547261,0.998789555593982,0.955590115776741,0.995334370139969,0.984262173671542,0.967783743751157,0.976485835956304,1,0.996311259441419,0.98362347931982,0.9908,0.9952,0.995389371050344
"CPAR2_808200",3116.37395170616,-1.30411802494645,-1.27954914834403,0.140822200148474,2.44635418058586e-18,0.354927070902757,0.00486766801126279,0.259197148217096,-1.349919750375,6.24904127213422e-05,6.5504218260578e-05,0.04645475965411,-1.349919750375,0.110423431054752,-1.449393882,-1.24390061025,TRUE,0.0703706020309662,-1.31473444935952,FALSE,TRUE,-1.30854945158658,0.0508354672678999,-1.38698096891504,-1.199555653713,1,606.5,699,-1.32945529196125,0.000132217405890207,528,408,48,197,108,185.560297841215,139,0.929669949887679,0.991872730416739,0.914117850354242,0.919993087955763,0.963710423995556,0.980188853915941,0.857063506758008,1,0.986650272264184,0.949251852838679,0.6012,0.835,0.775370878999205
"CPAR2_210890",813.356062210441,0.994234978462339,0.961249665935484,0.154027301092152,2.72278301551736e-09,1,0.220792624054797,0.292733341415495,0.977815710875,0.000134137742412052,0.000138491328817409,0.999999995174279,0.977815710875,0.0476203318614807,0.93439946975,1.0219694075,TRUE,0.0165660449395163,0.969532688405242,FALSE,FALSE,0.998682374353214,0.0547815433461089,0.878398063888044,1.06748720915932,1,975.5,1315,0.97047067287522,0.000392632959904464,988,771,230,428,154,409.732798245609,341,0.86694314843615,0.96040117586028,0.851391048902713,0.655434594781407,0.920940566561748,0.971486761710794,0.960933160525829,1,0.961356051291059,0.905431834229998,0.4248,0.6144,0.651766829472013
"CPAR2_109530",3163.55823213029,1.3683948192158,1.33641876649535,0.16442817933008,6.7521953998965e-15,0.30452335830217,0.00417346992781157,0.324568488799633,1.3742828026875,0.000176150079820172,0.000179967699784799,0.112263808212957,1.3742828026875,0.211040819903081,1.12720355275,1.583670854,TRUE,0.0378640361921545,1.35535078459142,FALSE,TRUE,1.36150202632888,0.0601184274267696,1.25370984553509,1.46926901429588,1,539.5,699,1.34389610425898,0.000161852580815167,515,375,74,189,188,219.350169323648,168,0.935372386383273,0.98737679405153,0.791083462934163,0.921202695697252,0.965191631179411,0.965376782077393,0.92019996296982,1,0.98331284033023,0.941012950624786,0.4044,0.6422,0.635924523823386
"CPAR2_102080",2249.85643505442,1.739441546735,1.72679437967752,0.112631590352351,5.35133022741579e-51,7.15920037882894e-09,8.92950649492047e-12,0.0673153790206971,1.59101921025,0.00124843887768018,0.00142058773784186,0.264574896102947,1.59101921025,0.509713637968892,0.85031379825,1.98393285975,TRUE,0.135775169427525,1.65890679496376,FALSE,TRUE,1.74244754887891,0.0278859000426596,1.69200249374312,1.77007862231446,1,293.5,339,1.71130461052719,5.23291054035619e-06,270,184,9,139,604,130.285224931249,89,0.968377397615345,0.998616634964551,0.991532745809573,0.885951270088129,0.974449176078504,0.888354008516941,0.719311238659508,1,0.998770419813806,0.93615143239404,0.396,0.5552,0.629285308902091
"CPAR2_502980",1941.33131258214,1.78054680561281,1.77357404154058,0.084423172612321,5.59577198286524e-95,1.12702676553429e-17,4.59187294914165e-21,0.0172780123380306,2.084433594375,0.000232091727912611,0.000277944232626093,0.00945269358167256,2.084433594375,0.406782346100728,1.59736484375,2.4361954865,TRUE,0.310859552834421,1.92900381795779,FALSE,TRUE,1.78156878409783,0.0149400728892788,1.75545361771365,1.80545258505434,1,285.5,322,1.75261451495536,1.402426507491e-06,259,176,1,82,210,60.1130987439262,25,0.969759806462761,1,1,0.8627959218939,0.98500277726347,0.960933160525829,0.422699500092575,1,0.999121728438433,0.91114587718633,0.2958,0.3948,0.543874985635486
"CPAR2_103400",3577.25981157581,2.36567360943555,2.31055158253858,0.257474153482756,4.62948109570649e-18,9.35506611661771e-06,2.14732389933451e-08,0.0530740399887129,2.302618140375,9.82853951516085e-06,9.98450047050812e-06,0.000114655993253741,2.302618140375,0.0926535302585671,2.21565658175,2.40833468625,TRUE,0.00793344216358083,2.30658486145679,TRUE,TRUE,2.33467193419678,0.114267398732688,2.16960845130492,2.54326522137851,1,142,184,2.3344659436381,5.71676987136087e-05,128,94,50,70,20,60.9659257259249,27,0.983929497148782,0.991526889157877,0.306203559702782,0.931052358735096,0.987224588039252,0.996296982040363,0.982225513793742,1,0.991041630072018,0.90772233540999,0.2634,0.351,0.513225096814254
"CPAR2_206900",19639.4220733383,1.70812865119216,1.69990262527281,0.0859902012763721,2.40107484594447e-84,5.77015325104427e-14,4.23169612495864e-17,0.0356917881282205,2.2780583613125,7.92562891867498e-05,8.79722584974641e-05,0.00181812630096022,2.2780583613125,0.320860365801772,1.8484274665,2.549860795,TRUE,0.578155736039687,1.98898049329266,FALSE,TRUE,1.71146208252894,0.0174929087357527,1.68586858702685,1.73890033032223,1,307.5,354,1.68034120982081,1.71043893831173e-05,289,190,2,71,116,61.8414345510867,28,0.967340590979782,0.999827079370569,0.999827198894073,0.993433557974771,0.98703943714127,0.978707646732087,0.176078503980744,1,0.996135605129106,0.899821068911378,0.1908,0.2706,0.436806593356831
"CPAR2_205940",7107.67373731569,-0.721305139168688,-0.699365020024836,0.120543967606839,4.26093215258731e-08,1,0.673416078743116,0.143843410112998,-0.7539039639375,0.000709193418414905,0.000728989909057005,0.999999995174279,-0.7539039639375,0.131618738007298,-0.88350701225,-0.61841415125,TRUE,0.0545389439126637,-0.726634491981168,FALSE,FALSE,-0.719248875381734,0.0390863916991881,-0.799288380833427,-0.673194451415072,1,1704,2009,-0.74662677745031,0.00312965141245375,1549,1321,296,734,425.5,716.751010915493,627,0.771902540176257,0.948988414317828,0.978918265076896,0.970969414204251,0.8642843917793,0.920755415663766,0.885576745047214,1,0.891621289302652,0.914779608396463,0.1776,0.3788,0.42142615011411
"CPAR2_400570",1919.19423747271,2.45635826509518,2.44080500569425,0.143675181229784,2.27450917546017e-62,2.20156196012582e-21,1.38847806840908e-24,0.15360225115175,2.145010776125,2.65273162502429e-05,2.78994747861906e-05,0.000490779869890507,2.145010776125,0.182432864474854,1.9242391185,2.33051718125,TRUE,0.295794229569245,2.29290789090962,TRUE,TRUE,2.46953137107861,0.0395930493190185,2.39042464592391,2.51127151155947,1,128.5,160,2.42711876573093,7.58172391405255e-07,114,80,4,76,53,42.9960796069324,16,0.986348712631761,0.999481238111707,0.903749783998618,0.860203905304994,0.986113682651361,0.990372153304944,0.446583965932235,1,0.99947303706306,0.908036275444298,0.176,0.3266,0.419523539268061
"CPAR2_401990",261.016008217419,1.104917924098,1.06594934227039,0.170802462525797,2.49206670722152e-09,1,0.11083743768818,0.2421171904911,1.0431856496875,0.000162995803114163,0.000170803475738629,0.999999995174279,1.0431856496875,0.106934804805594,0.9104227995,1.13046924525,TRUE,0.0227636925828918,1.05456749597895,FALSE,TRUE,1.09831202664808,0.0523510339116847,1.04198965267653,1.20665949746244,1,817,980,1.08078943582601,0.000318198050935839,815,620,229,367,182,378.115470314369,310,0.893036115431139,0.960574096489711,0.746673578710904,0.282875410402627,0.932234771338641,0.966487687465284,0.948528050361044,1,0.966274372035833,0.855187120248354,0.134,0.4084,0.366060104354463
"CPAR2_211730",1136.57341089351,1.22143081760645,1.19346929928347,0.148952405434979,1.80358658016969e-14,0.996386512294137,0.0228013017290386,0.530851135853101,1.2804589853125,0.000222670422204111,0.000228473503519107,0.308554370416154,1.2804589853125,0.204980401210613,1.10698054575,1.512970236,TRUE,0.0869896860290316,1.23696414229798,FALSE,TRUE,1.22776528006944,0.0616592930042233,1.06447169894151,1.29436904594545,1,668.5,832,1.19217799402057,0.000103968056445816,662,489,77,225,205,258.296660104409,196,0.915673060307586,0.986858032163237,0.879212026956973,0.750475203041299,0.958526198852064,0.962229216811701,0.821699685243473,1,0.988582469699631,0.918139543675107,0.1334,0.5112,0.365239647354993
"CPAR2_101020",7842.12114393865,0.588286580095548,0.568953360072428,0.11488589125661,3.6696895647777e-06,1,0.776243330633732,0.0492390576571773,0.56024945575,0.00471288503805765,0.00479691973887602,0.999999995174279,0.56024945575,0.213958737740936,0.25998193975,0.74068727625,TRUE,0.00870390432242818,0.564601407911214,FALSE,FALSE,0.588168742769457,0.0286486838678027,0.548294946719735,0.623317307911135,1,2215.5,2368,0.561693409219313,0.0107504003887444,2191,1762,480,1181,1246,1222.16964171961,1194,0.695697252462416,0.917171018502507,0.987903922585105,0.975462242958355,0.781521940381411,0.76948713201259,0.979263099426032,1,0.807834182329176,0.879371198961955,0.1284,0.231,0.358329457343378
