;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CapafMp06.4;9.94281562107232;-3.9553599681451;1.09570139163525;-3.60988860499849;0.000306328530214334;0.00154877991150324
CPAR2_213800;40.0449706174876;-3.88198074461234;0.917280034093596;-4.23205629723347;2.31564425112148e-05;0.000169540333525148
CPAR2_703250;360.215745082299;-2.74230154630099;0.25620230464581;-10.7036568234315;9.7839211103552e-27;2.02107856079623e-24
CPAR2_402370;11.3134344007612;-4.89089492775752;1.31417048949542;-3.72165937894055;0.00019791788369121;0.00107488923875113
CPAR2_406090;8.93394775719789;-3.04840641486883;0.912153947178235;-3.341986760348;0.000831810282174039;0.00356913254606427
CPAR2_702950;23.291214902671;-2.28171594724342;0.667112656723563;-3.42028580067685;0.000625553774901967;0.00281134656879019
CPAR2_405060;22.3429050257531;-2.6113778278054;0.593280922853476;-4.40158738839196;1.07461769673761e-05;8.72975949147515e-05
CPAR2_212720;99.6349005982268;-3.11241950605833;0.411343272096497;-7.56647723978864;3.83481336638801e-14;2.07294958048489e-12
CPAR2_808120;871.052228650319;-3.60056717550972;0.807366734896938;-4.4596427123906;8.20963937024026e-06;6.86192978576151e-05
CPAR2_407570;26.9500132208455;-3.6001946968521;1.02477456592953;-3.51315773883059;0.000442814506000006;0.00210282356543845
CPAR2_402870;60.9531202030356;-2.0937127632614;0.620276671148009;-3.37544979627616;0.000736951363318406;0.0032194310312943
CPAR2_600290;33.161957538187;-2.04705888900981;0.657065104778457;-3.11545823103788;0.00183659357282467;0.00689348294952491
CPAR2_401740;632.197545848442;-2.1548969734146;0.485241618495064;-4.44087417748262;8.95941715085442e-06;7.4136292990761e-05
CPAR2_701480;12.6896615601695;-4.07382079881563;1.05303202223326;-3.86865803964433;0.000109435994748197;0.000644789271318234
CPAR2_210110;68.3852846563392;-3.0545318072351;0.598353250054726;-5.10489716059156;3.30974457860248e-07;3.94712631806944e-06
CPAR2_211610;4660.8195202611;-2.3273468832111;0.215994597441739;-10.7750235921473;4.51666316524096e-27;1.08851582282307e-24
CPAR2_300120;172.574238722775;-3.17424816796003;1.06195403128867;-2.98906362651886;0.00279833852023241;0.00962282401963392
CPAR2_102010;50.6167374017337;-2.48252853366355;0.756529312754669;-3.28147038298382;0.00103267368958408;0.00425123460537675
CapafMp16;7.99641243630925;-5.07300699570253;1.40733531835438;-3.60468960704722;0.000312526216318047;0.0015705053303072
CPAR2_600600;389.960140526664;-2.59602898539455;0.366290578890338;-7.08734850145235;1.36705823086396e-12;5.03634701103004e-11
CPAR2_402880;128.44439233224;-3.19578302632805;0.517776232040998;-6.17213156681747;6.73753966944048e-10;1.47290243400583e-08
CapafMp06.3;9.71308959722439;-4.63298637949326;1.4615134820331;-3.16999222822655;0.00152443014931913;0.00591368476436074
CPAR2_807390;43.4564279910971;-2.13677494742785;0.519389805904762;-4.11401017720333;3.88844280102915e-05;0.000264908753370467
CPAR2_300770;138.504946544842;-2.07777747449328;0.503661988279491;-4.12534104785426;3.70185780238351e-05;0.000253992236405531
CapafMp17;249.556468312214;-3.79323299844026;0.875884650671756;-4.3307449166178;1.48605753609463e-05;0.000115854526847162
CapafMp02;127.902408354583;-4.45392259143836;1.13214117322646;-3.93406997004203;8.35194527386645e-05;0.000512820079236131
